name,latitude,longitude,address,place_id,business_status,types,rating,user_ratings_total,queried_type
IndianOil,23.401058,85.242851,"At Tiltap S, near Ranchi Road, Ratu, Simlia, Ranchi",ChIJxUQ2W_Df9DkRMike90ifTik,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,9.0,gas_station
"Bharat Petroleum, Petrol Pump -Kanchan Fuels",23.362497,85.2292372,"DALADAI CHOWK, Ranchi",ChIJrQagBInf9DkR5UThl5DMeNY,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,118.0,gas_station
IndianOil,23.3267592,85.1953541,"Ground Floor, Nagri, Naro",ChIJi0Gh6bjf9DkRHk3ETJtFs_s,OPERATIONAL,"gas_station, point_of_interest, establishment",4.2,98.0,gas_station
IndianOil,23.3981732,85.3552627,"Ground Floor, Bariatu Rd, Bariatu, Ranchi",ChIJPwXFqVzh9DkRfbjb6Bngxfc,OPERATIONAL,"gas_station, point_of_interest, establishment",3.5,1024.0,gas_station
IndianOil,23.3479309,85.263361,"At, S Nagri, Pundag, Ranchi",ChIJN82mLADf9DkRi-QGFerx5eM,OPERATIONAL,"gas_station, point_of_interest, establishment",4.6,7.0,gas_station
"Bharat Petroleum, Petrol Pump -Manshai Fuel Station",23.4177848,85.3458234,"DSTT, BOREYA, Ranchi",ChIJI_NHqY3n9DkRLmQYLIgDEZQ,OPERATIONAL,"gas_station, point_of_interest, establishment",3.7,115.0,gas_station
IndianOil,23.3823899,85.4190807,"At, Pertol, Khelgaon, Lalganj, Ranchi",ChIJwb4NHQDj9DkRBAIq8B6gbv8,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,7.0,gas_station
IndianOil,23.4031103,85.2509415,"Ground Floor, Bijjulia, Pandra, Ranchi",ChIJD6rXKHXe9DkR9q5IVRtMR2A,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,147.0,gas_station
IndianOil,23.3658624,85.3429238,"Purulia Rd, Dangartoli, Nayatoli, Ranchi",ChIJBRSp3Sri9DkRc6kA7rmERzM,OPERATIONAL,"gas_station, point_of_interest, establishment",3.6,86.0,gas_station
IndianOil,23.3499107,85.22972879999999,"Ground Floor, NH-23, Supram, Ranchi",ChIJl36lawff9DkROZhyXNpyegM,OPERATIONAL,"gas_station, point_of_interest, establishment",3.9,261.0,gas_station
IndianOil,23.279096,85.4152081,"Ground Floor Garke, Namkum, Rampur, Bara Ghaghra, Ranchi",ChIJF_xXJRgd9TkRFPCypkB2nAk,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,128.0,gas_station
Diamond sales,23.3760625,85.3518125,"Bazar, Kokar Industrial Area, Kokar, Ranchi",ChIJ3S0WXbTh9DkR4a4_Ay0Nzrs,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,41.0,gas_station
IndianOil,23.393992,85.2669696,"JAYASWAL PETROL PUMP, C/O, Ratu Rd, Ravi Steel, Ranchi, Kamre",ChIJhz1ECeHg9DkRhtDSIXtkGbU,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,377.0,gas_station
Hindustan Petroleum Corporation Limited,23.3818866,85.296363,"Ground Floor, Piska More, Hehal, Pahartoli, Ranchi",ChIJOf7Zaerg9DkRKMd_l_aEu9k,OPERATIONAL,"gas_station, point_of_interest, establishment",3.6,362.0,gas_station
Hindustan Petroleum Corporation Limited,23.3593454,85.42211789999999,"Ground Floor, Mahilong, Tatisilwai, Ranchi",ChIJ774oM9ni9DkRlxQQXw2Y4y0,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,142.0,gas_station
